ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.4477,Robin,Lopez,C,ORL,CHI,ORL@CHI,8:00PM EST,11,16.0,O," "
nba.p.4937,E'Twaun,Moore,SG,ORL,CHI,ORL@CHI,8:00PM EST,10,9.6,INJ," "
nba.p.5014,Terrence,Ross,SF,ORL,CHI,ORL@CHI,8:00PM EST,13,19.2," "," "
nba.p.5162,Michael,Carter-Williams,PG,ORL,CHI,ORL@CHI,8:00PM EST,14,22.3,INJ," "
nba.p.5330,Gary,Harris,SG,ORL,CHI,ORL@CHI,8:00PM EST,13,18.7," "," "
nba.p.5414,Tim,Frazier,PG,ORL,CHI,ORL@CHI,8:00PM EST,10,13.1," "," "
nba.p.5763,Markelle,Fultz,PG,ORL,CHI,ORL@CHI,8:00PM EST,10,25.8,INJ," "
nba.p.5768,Jonathan,Isaac,SF,ORL,CHI,ORL@CHI,8:00PM EST,10,0.0,INJ," "
nba.p.6017,Mo,Bamba,C,ORL,CHI,ORL@CHI,8:00PM EST,23,30.3," "," "
nba.p.6018,Wendell,Carter Jr.,PF,ORL,CHI,ORL@CHI,8:00PM EST,28,32.0," "," "
nba.p.6036,Moritz,Wagner,PF,ORL,CHI,ORL@CHI,8:00PM EST,10,11.2,GTD," "
nba.p.6204,Chuma,Okeke,PF,ORL,CHI,ORL@CHI,8:00PM EST,16,18.2,INJ," "
nba.p.6230,Admiral,Schofield,SF,ORL,CHI,ORL@CHI,8:00PM EST,10,10.5," "," "
nba.p.6235,Ignas,Brazdeikis,SF,ORL,CHI,ORL@CHI,8:00PM EST,10,4.8," "," "
nba.p.6283,Hassani,Gravett,PG,ORL,CHI,ORL@CHI,8:00PM EST,15,15.5," "," "
nba.p.6307,Mychal,Mulder,SG,ORL,CHI,ORL@CHI,8:00PM EST,10,6.1," "," "
nba.p.6407,Cole,Anthony,PG,ORL,CHI,ORL@CHI,8:00PM EST,29,36.2,INJ," "
nba.p.6416,R.J.,Hampton,PG,ORL,CHI,ORL@CHI,8:00PM EST,11,15.6," "," "
nba.p.6469,Freddie,Gillespie,C,ORL,CHI,ORL@CHI,8:00PM EST,10,11.0," "," "
nba.p.6516,Jalen,Suggs,SG,ORL,CHI,ORL@CHI,8:00PM EST,19,23.2,INJ," "
nba.p.6550,Franz,Wagner,SF,ORL,CHI,ORL@CHI,8:00PM EST,26,28.4," "," "
nba.p.3962,Ersan,Ilyasova,PF,CHI,ORL,ORL@CHI,8:00PM EST,10,7.8," "," "
nba.p.4614,DeMar,DeRozan,PF,CHI,ORL,ORL@CHI,8:00PM EST,38,41.4," "," "
nba.p.4897,Nikola,Vucevic,C,CHI,ORL,ORL@CHI,8:00PM EST,36,39.4," "," "
nba.p.5324,Zach,LaVine,SG,CHI,ORL,ORL@CHI,8:00PM EST,38,39.0," "," "
nba.p.5747,Derrick,Jones Jr.,PF,CHI,ORL,ORL@CHI,8:00PM EST,10,15.1," "," "
nba.p.5754,Alex,Caruso,SG,CHI,ORL,ORL@CHI,8:00PM EST,17,24.4,INJ," "
nba.p.5764,Lonzo,Ball,PG,CHI,ORL,ORL@CHI,8:00PM EST,29,33.0," "," "
nba.p.5841,Tony,Bradley,C,CHI,ORL,ORL@CHI,8:00PM EST,10,11.4,INJ," "
nba.p.5904,Alfonzo,McKinnie,PF,CHI,ORL,ORL@CHI,8:00PM EST,10,14.6,INJ," "
nba.p.6026,Troy,Brown Jr.,SF,CHI,ORL,ORL@CHI,8:00PM EST,10,10.0," "," "
nba.p.6169,Coby,White,PG,CHI,ORL,ORL@CHI,8:00PM EST,18,18.4," "," "
nba.p.6264,Matt,Thomas,SG,CHI,ORL,ORL@CHI,8:00PM EST,10,5.5," "," "
nba.p.6269,Javonte,Green,SF,CHI,ORL,ORL@CHI,8:00PM EST,10,15.6,O," "
nba.p.6282,Tyler,Cook,PF,CHI,ORL,ORL@CHI,8:00PM EST,10,8.6,O," "
nba.p.6396,Patrick,Williams,PF,CHI,ORL,ORL@CHI,8:00PM EST,10,12.7,INJ," "
nba.p.6436,Marko,Simonovic,C,CHI,ORL,ORL@CHI,8:00PM EST,10,1.9,INJ," "
nba.p.6454,Devon,Dotson,SG,CHI,ORL,ORL@CHI,8:00PM EST,10,6.2," "," "
nba.p.6580,Ayo,Dosunmu,SG,CHI,ORL,ORL@CHI,8:00PM EST,10,11.8," "," "
nba.p.6628,Mac,McClung,PG,CHI,ORL,ORL@CHI,8:00PM EST,10,1.0," "," "
