ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.4290,Thaddeus,Young,C,SA,BOS,SA@BOS,7:30PM EST,10,16.2," "," "
nba.p.5322,Doug,McDermott,SF,SA,BOS,SA@BOS,7:30PM EST,10,16.5,INJ," "
nba.p.5640,Jakob,Poeltl,C,SA,BOS,SA@BOS,7:30PM EST,22,31.1," "," "
nba.p.5660,Dejounte,Murray,PG,SA,BOS,SA@BOS,7:30PM EST,44,45.9,INJ," "
nba.p.5726,Bryn,Forbes,SG,SA,BOS,SA@BOS,7:30PM EST,13,12.1," "," "
nba.p.5823,Zach,Collins,PF,SA,BOS,SA@BOS,7:30PM EST,10,0.0,INJ," "
nba.p.5842,Derrick,White,SG,SA,BOS,SA@BOS,7:30PM EST,28,31.8," "," "
nba.p.6029,Lonnie,Walker IV,SF,SA,BOS,SA@BOS,7:30PM EST,10,19.5,INJ," "
nba.p.6059,Keita,Bates-Diop,PF,SA,BOS,SA@BOS,7:30PM EST,11,12.6," "," "
nba.p.6109,Drew,Eubanks,C,SA,BOS,SA@BOS,7:30PM EST,10,13.3," "," "
nba.p.6217,Keldon,Johnson,PF,SA,BOS,SA@BOS,7:30PM EST,19,26.9," "," "
nba.p.6292,Devontae,Cacok,PF,SA,BOS,SA@BOS,7:30PM EST,10,6.7,INJ," "
nba.p.6403,Devin,Vassell,PF,SA,BOS,SA@BOS,7:30PM EST,13,22.1," "," "
nba.p.6433,Tre,Jones,PG,SA,BOS,SA@BOS,7:30PM EST,10,10.6," "," "
nba.p.6554,Joshua,Primo,SG,SA,BOS,SA@BOS,7:30PM EST,10,7.1," "," "
nba.p.6583,Joe,Wieskamp,SG,SA,BOS,SA@BOS,7:30PM EST,10,3.0," "," "
nba.p.6614,Jock,Landale,C,SA,BOS,SA@BOS,7:30PM EST,10,9.2," "," "
nba.p.4245,Al,Horford,PF,BOS,SA,SA@BOS,7:30PM EST,28,33.0," "," "
nba.p.4723,Al-Farouq,Aminu,PF,BOS,SA,SA@BOS,7:30PM EST,10,14.6," "," "
nba.p.4899,Enes,Freedom,C,BOS,SA,SA@BOS,7:30PM EST,11,13.1," "," "
nba.p.5187,Dennis,Schroder,PG,BOS,SA,SA@BOS,7:30PM EST,18,28.0," "," "
nba.p.5293,Jabari,Parker,PF,BOS,SA,SA@BOS,7:30PM EST,10,8.6,GTD," "
nba.p.5317,Marcus,Smart,PG,BOS,SA,SA@BOS,7:30PM EST,21,29.4," "," "
nba.p.5500,Josh,Richardson,SG,BOS,SA,SA@BOS,7:30PM EST,14,19.7," "," "
